,Label,x,y,Cluster
352,CVE-2017-8472,15.48237,-5.0243187,2
353,CVE-2017-1791,-30.345188,26.970812,4
354,CVE-2017-6656,-4.586415,-30.143665,3
355,CVE-2017-1249,-30.592789,26.98368,4
356,CVE-2017-7770,-12.5367365,-30.630644,3
357,CVE-2017-1793,-30.345194,26.970825,4
358,CVE-2017-8680,15.56971,-5.1197495,2
359,CVE-2017-12907,-32.9667,23.850733,4
360,CVE-2017-1000482,-32.488052,23.960411,4
361,CVE-2017-0413,-4.366817,-29.118845,3
362,CVE-2017-15312,-32.579155,26.062908,4
363,CVE-2017-8301,-11.222315,-30.593355,3
364,CVE-2017-7616,14.745814,-5.026402,2
365,CVE-2017-7634,-32.844887,24.954622,4
366,CVE-2017-13806,-12.391126,-29.95968,3
367,CVE-2017-2352,14.396572,-5.505431,2
368,CVE-2017-14130,-9.677151,-29.857798,3
369,CVE-2017-5542,-32.181126,24.526491,4
370,CVE-2017-8724,-13.085435,-30.419333,3
371,CVE-2017-6733,-32.00683,27.108067,4
372,CVE-2017-16833,-33.060932,23.93616,4
373,CVE-2017-0128,-3.8831992,-30.48162,3
374,CVE-2017-3453,-12.918351,-30.70639,3
375,CVE-2017-13290,16.52951,-8.295315,2
376,CVE-2017-10054,16.176245,-7.578664,2
377,CVE-2017-17718,-10.838201,-30.356398,3
378,CVE-2017-5842,-4.330674,-28.657349,3
379,CVE-2017-9668,-33.484333,24.686869,4
380,CVE-2017-14927,-11.265215,-29.911936,3
381,CVE-2017-9336,-32.14145,24.688795,4
382,CVE-2017-7248,-2.9339433,-28.822159,3
383,CVE-2017-9142,-12.36518,-31.00036,3
384,CVE-2017-9205,-4.3548617,-29.19075,3
385,CVE-2017-9126,-6.2997303,-28.653067,3
386,CVE-2017-4028,16.291838,-7.801615,2
387,CVE-2017-7796,15.572119,-6.8877783,2
388,CVE-2017-5695,15.221119,-5.4192524,2
389,CVE-2017-9083,-11.265215,-29.911936,3
390,CVE-2017-11289,-31.853743,25.509071,4
